time,up_speed,down_speed
18:40:27,0,0
18:40:28,0,0
18:40:29,0,0
18:40:30,0,0
18:40:31,20081,2105
18:40:32,108,796
18:40:33,41799,499133
18:40:34,44690,908479
18:40:35,32128,293961
18:40:36,34295,862376
18:40:37,25349,1477101
18:40:38,27925,1474168
18:40:39,3518,503953
18:40:40,4282,369622
18:40:41,1024,1024
18:40:42,66,1024
18:40:43,202,1024
18:40:44,1024,174
18:40:45,1024,1024
18:40:46,870,1024
18:40:47,905,1024
18:40:48,1024,1024
18:40:49,1024,1024
18:40:50,1024,1024
18:40:51,1024,1024
18:40:52,1024,223
18:40:53,1024,1024
18:40:54,1024,1024
18:40:55,1024,1024
18:40:56,1024,1024
18:40:57,1024,1024
18:40:58,1024,1024
18:40:59,1024,1024
18:41:00,1024,1024
18:41:01,1024,1024
18:41:02,1024,1024
18:41:03,1024,1024
18:41:04,1024,1024
18:41:05,1024,1024
18:41:06,1024,1024
18:41:07,1024,1024
18:41:08,1024,1024
18:41:09,1024,1024
18:41:11,1024,1024
18:41:12,1024,1024
18:41:13,1024,1024
18:41:14,1024,1024
18:41:15,1024,1024
18:41:16,1024,1024
18:41:17,1024,1024
18:41:18,1024,1024
18:41:19,1024,1024
18:41:20,1024,1024
18:41:21,1024,1024
18:41:22,1024,1024
18:41:23,1024,1024
18:41:24,1024,1024
18:41:25,1024,1024
18:41:26,1024,1024
18:41:27,1024,1024
