time,up_speed,down_speed
17:07:11,0,0
17:07:12,6162,342460
17:07:13,11156,440897
17:07:14,0,0
17:07:15,5760,322871
17:07:17,1116,0
17:07:18,6488,322860
17:07:19,459,567
17:07:20,7260,379632
17:07:21,10655,322965
17:07:22,0,0
17:07:23,12463,323265
17:07:24,8652,323674
17:07:25,5418,322860
17:07:26,0,0
17:07:27,16124,645720
17:07:28,66,62
17:07:29,37762,452351
17:07:30,9064,301561
17:07:31,2691,6081
17:07:32,3448,10102
17:07:33,3506,9574
17:07:34,3409,8116
17:07:35,3380,8969
17:07:37,1897,4926
17:07:38,20736,1959084
17:07:39,85,248
17:07:40,0,0
17:07:41,0,0
17:07:42,3361,4745
17:07:43,2586,1627
17:07:44,3229,1010
17:07:45,0,0
17:07:46,0,0
17:07:47,0,0
17:07:48,66,62
17:07:49,174,240
17:07:50,171,105
17:07:51,0,0
17:07:52,361,388
17:07:53,108,193
17:07:54,0,0
17:07:55,0,0
17:07:56,0,0
17:07:57,66,64
17:07:58,2405,1243
17:07:59,0,0
17:08:00,0,0
17:08:01,0,0
17:08:03,0,0
17:08:04,0,0
17:08:05,441,279
17:08:06,0,0
17:08:07,171,133
17:08:08,0,0
17:08:09,66,62
17:08:10,0,0
17:08:11,0,0
17:08:12,0,0
17:08:13,0,0
17:08:14,1214,19862
17:08:15,27975,2089483
17:08:16,0,0
17:08:17,0,0
17:08:18,34763,1794416
17:08:19,55228,2492667
17:08:20,22916,820152
17:08:21,0,0
17:08:22,11957,322899
17:08:23,0,0
17:08:24,3017,1356
17:08:25,7714,428975
17:08:26,61553,3886674
17:08:27,23180,963447
17:08:28,96770,2049475
17:08:29,135023,2171593
17:08:31,5996,418320
17:08:32,37779,1806461
17:08:33,84873,3925527
17:08:34,31758,708257
17:08:35,15090,1014974
17:08:36,0,0
17:08:37,22947,2025464
17:08:38,12270,1085397
17:08:39,1536,859
17:08:40,26774,1114353
17:08:41,65550,3084834
17:08:42,73514,3516155
17:08:43,0,0
17:08:44,8466,322941
17:08:45,0,0
17:08:46,8513,324431
17:08:47,2861,44809
17:08:48,57039,2967531
17:08:49,37374,3237404
17:08:51,45424,3543620
17:08:52,62709,2564415
17:08:53,17836,864415
17:08:54,0,0
17:08:55,0,0
17:08:56,6348,322588
17:08:57,5855,3677
17:08:58,7569,15269
17:08:59,240,1989
17:09:00,0,0
17:09:01,0,0
17:09:02,9720,1028483
17:09:03,22360,1006627
17:09:04,441,279
17:09:05,0,0
17:09:06,7083,1163
17:09:07,49412,2130555
17:09:08,123469,4422529
17:09:09,1380,40338
17:09:10,9184,324432
17:09:11,81410,3197404
17:09:12,60566,2132361
17:09:13,64790,2739703
17:09:14,0,0
17:09:15,0,0
17:09:17,0,0
17:09:18,0,0
17:09:19,6196,323263
17:09:20,0,0
17:09:21,0,0
17:09:22,0,0
17:09:23,94,156
17:09:24,9628,323263
17:09:25,0,0
17:09:26,4076,868
17:09:27,0,0
17:09:28,5751,3544
17:09:29,45483,2071
17:09:30,25499,325300
17:09:31,0,0
17:09:32,66,64
17:09:33,132,219
17:09:34,6253,323624
17:09:35,0,0
17:09:36,171,133
